Test type: None
Sequence: 0  |  Address: 0  |  Set: 0  | Block: 0  |  Status: Miss
Sequence: 88  |  Address: 58  |  Set: 2  | Block: 6  |  Status: Miss
Sequence: 89  |  Address: 59  |  Set: 3  | Block: 6  |  Status: Miss
Sequence: 90  |  Address: 60  |  Set: 0  | Block: 7  |  Status: Miss
Sequence: 91  |  Address: 61  |  Set: 1  | Block: 7  |  Status: Miss
Sequence: 92  |  Address: 62  |  Set: 2  | Block: 7  |  Status: Miss
Sequence: 93  |  Address: 63  |  Set: 3  | Block: 7  |  Status: Miss
Sequence: 94  |  Address: 0  |  Set: 0  | Block: 0  |  Status: Miss
Sequence: 95  |  Address: 1  |  Set: 1  | Block: 0  |  Status: Miss
Sequence: 96  |  Address: 2  |  Set: 2  | Block: 0  |  Status: Miss
Sequence: 97  |  Address: 3  |  Set: 3  | Block: 0  |  Status: Miss
Sequence: 98  |  Address: 4  |  Set: 0  | Block: 1  |  Status: Miss
Sequence: 99  |  Address: 5  |  Set: 1  | Block: 1  |  Status: Miss
Sequence: 100  |  Address: 6  |  Set: 2  | Block: 1  |  Status: Miss
Sequence: 101  |  Address: 7  |  Set: 3  | Block: 1  |  Status: Miss
Sequence: 102  |  Address: 8  |  Set: 0  | Block: 2  |  Status: Miss
Sequence: 103  |  Address: 9  |  Set: 1  | Block: 2  |  Status: Miss
Sequence: 104  |  Address: 10  |  Set: 2  | Block: 2  |  Status: Miss
Sequence: 105  |  Address: 11  |  Set: 3  | Block: 2  |  Status: Miss
Sequence: 106  |  Address: 12  |  Set: 0  | Block: 3  |  Status: Miss
Sequence: 107  |  Address: 13  |  Set: 1  | Block: 3  |  Status: Miss
Sequence: 108  |  Address: 14  |  Set: 2  | Block: 3  |  Status: Miss
Sequence: 109  |  Address: 15  |  Set: 3  | Block: 3  |  Status: Miss
Sequence: 110  |  Address: 16  |  Set: 0  | Block: 4  |  Status: Miss
Sequence: 111  |  Address: 17  |  Set: 1  | Block: 4  |  Status: Miss
Sequence: 112  |  Address: 18  |  Set: 2  | Block: 4  |  Status: Miss
Sequence: 113  |  Address: 19  |  Set: 3  | Block: 4  |  Status: Miss
Sequence: 114  |  Address: 20  |  Set: 0  | Block: 5  |  Status: Miss
Sequence: 115  |  Address: 21  |  Set: 1  | Block: 5  |  Status: Miss
Sequence: 116  |  Address: 22  |  Set: 2  | Block: 5  |  Status: Miss
Sequence: 117  |  Address: 23  |  Set: 3  | Block: 5  |  Status: Miss
Sequence: 118  |  Address: 24  |  Set: 0  | Block: 6  |  Status: Miss
Sequence: 119  |  Address: 25  |  Set: 1  | Block: 6  |  Status: Miss
Sequence: 120  |  Address: 26  |  Set: 2  | Block: 6  |  Status: Miss
Sequence: 121  |  Address: 27  |  Set: 3  | Block: 6  |  Status: Miss
Sequence: 122  |  Address: 28  |  Set: 0  | Block: 7  |  Status: Miss
Sequence: 123  |  Address: 29  |  Set: 1  | Block: 7  |  Status: Miss
Sequence: 124  |  Address: 30  |  Set: 2  | Block: 7  |  Status: Miss
Sequence: 125  |  Address: 1  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 126  |  Address: 2  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 127  |  Address: 3  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 128  |  Address: 4  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 129  |  Address: 5  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 130  |  Address: 6  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 131  |  Address: 7  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 132  |  Address: 8  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 133  |  Address: 9  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 134  |  Address: 10  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 135  |  Address: 11  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 136  |  Address: 12  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 137  |  Address: 13  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 138  |  Address: 14  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 139  |  Address: 15  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 140  |  Address: 16  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 141  |  Address: 17  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 142  |  Address: 18  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 143  |  Address: 19  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 144  |  Address: 20  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 145  |  Address: 21  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 146  |  Address: 22  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 147  |  Address: 23  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 148  |  Address: 24  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 149  |  Address: 25  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 150  |  Address: 26  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 151  |  Address: 27  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 152  |  Address: 28  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 153  |  Address: 29  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 154  |  Address: 30  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 155  |  Address: 31  |  Set: 3  | Block: 7  |  Status: Miss
Sequence: 156  |  Address: 32  |  Set: 0  | Block: 0  |  Status: Miss
Sequence: 157  |  Address: 33  |  Set: 1  | Block: 0  |  Status: Miss
Sequence: 158  |  Address: 34  |  Set: 2  | Block: 0  |  Status: Miss
Sequence: 159  |  Address: 35  |  Set: 3  | Block: 0  |  Status: Miss
Sequence: 160  |  Address: 36  |  Set: 0  | Block: 1  |  Status: Miss
Sequence: 161  |  Address: 37  |  Set: 1  | Block: 1  |  Status: Miss
Sequence: 162  |  Address: 38  |  Set: 2  | Block: 1  |  Status: Miss
Sequence: 163  |  Address: 39  |  Set: 3  | Block: 1  |  Status: Miss
Sequence: 164  |  Address: 40  |  Set: 0  | Block: 2  |  Status: Miss
Sequence: 165  |  Address: 41  |  Set: 1  | Block: 2  |  Status: Miss
Sequence: 166  |  Address: 42  |  Set: 2  | Block: 2  |  Status: Miss
Sequence: 167  |  Address: 43  |  Set: 3  | Block: 2  |  Status: Miss
Sequence: 168  |  Address: 44  |  Set: 0  | Block: 3  |  Status: Miss
Sequence: 169  |  Address: 45  |  Set: 1  | Block: 3  |  Status: Miss
Sequence: 170  |  Address: 46  |  Set: 2  | Block: 3  |  Status: Miss
Sequence: 171  |  Address: 47  |  Set: 3  | Block: 3  |  Status: Miss
Sequence: 172  |  Address: 48  |  Set: 0  | Block: 4  |  Status: Miss
Sequence: 173  |  Address: 49  |  Set: 1  | Block: 4  |  Status: Miss
Sequence: 174  |  Address: 50  |  Set: 2  | Block: 4  |  Status: Miss
Sequence: 175  |  Address: 51  |  Set: 3  | Block: 4  |  Status: Miss
Sequence: 176  |  Address: 52  |  Set: 0  | Block: 5  |  Status: Miss
Sequence: 177  |  Address: 53  |  Set: 1  | Block: 5  |  Status: Miss
Sequence: 178  |  Address: 54  |  Set: 2  | Block: 5  |  Status: Miss
Sequence: 179  |  Address: 55  |  Set: 3  | Block: 5  |  Status: Miss
Sequence: 180  |  Address: 56  |  Set: 0  | Block: 6  |  Status: Miss
Sequence: 181  |  Address: 57  |  Set: 1  | Block: 6  |  Status: Miss
Sequence: 182  |  Address: 58  |  Set: 2  | Block: 6  |  Status: Miss
Sequence: 183  |  Address: 59  |  Set: 3  | Block: 6  |  Status: Miss
Sequence: 184  |  Address: 60  |  Set: 0  | Block: 7  |  Status: Miss
Sequence: 185  |  Address: 61  |  Set: 1  | Block: 7  |  Status: Miss
Sequence: 186  |  Address: 62  |  Set: 2  | Block: 7  |  Status: Miss
Sequence: 187  |  Address: 63  |  Set: 3  | Block: 7  |  Status: Miss
Sequence: 188  |  Address: 0  |  Set: 0  | Block: 0  |  Status: Miss
Sequence: 189  |  Address: 1  |  Set: 1  | Block: 0  |  Status: Miss
Sequence: 190  |  Address: 2  |  Set: 2  | Block: 0  |  Status: Miss
Sequence: 191  |  Address: 3  |  Set: 3  | Block: 0  |  Status: Miss
Sequence: 192  |  Address: 4  |  Set: 0  | Block: 1  |  Status: Miss
Sequence: 193  |  Address: 5  |  Set: 1  | Block: 1  |  Status: Miss
Sequence: 194  |  Address: 6  |  Set: 2  | Block: 1  |  Status: Miss
Sequence: 195  |  Address: 7  |  Set: 3  | Block: 1  |  Status: Miss
Sequence: 196  |  Address: 8  |  Set: 0  | Block: 2  |  Status: Miss
Sequence: 197  |  Address: 9  |  Set: 1  | Block: 2  |  Status: Miss
Sequence: 198  |  Address: 10  |  Set: 2  | Block: 2  |  Status: Miss
Sequence: 199  |  Address: 11  |  Set: 3  | Block: 2  |  Status: Miss
Sequence: 200  |  Address: 12  |  Set: 0  | Block: 3  |  Status: Miss
Sequence: 201  |  Address: 13  |  Set: 1  | Block: 3  |  Status: Miss
Sequence: 202  |  Address: 14  |  Set: 2  | Block: 3  |  Status: Miss
Sequence: 203  |  Address: 15  |  Set: 3  | Block: 3  |  Status: Miss
Sequence: 204  |  Address: 16  |  Set: 0  | Block: 4  |  Status: Miss
Sequence: 205  |  Address: 17  |  Set: 1  | Block: 4  |  Status: Miss
Sequence: 206  |  Address: 18  |  Set: 2  | Block: 4  |  Status: Miss
Sequence: 207  |  Address: 19  |  Set: 3  | Block: 4  |  Status: Miss
Sequence: 208  |  Address: 20  |  Set: 0  | Block: 5  |  Status: Miss
Sequence: 209  |  Address: 21  |  Set: 1  | Block: 5  |  Status: Miss
Sequence: 210  |  Address: 22  |  Set: 2  | Block: 5  |  Status: Miss
Sequence: 211  |  Address: 23  |  Set: 3  | Block: 5  |  Status: Miss
Sequence: 212  |  Address: 24  |  Set: 0  | Block: 6  |  Status: Miss
Sequence: 213  |  Address: 25  |  Set: 1  | Block: 6  |  Status: Miss
Sequence: 214  |  Address: 26  |  Set: 2  | Block: 6  |  Status: Miss
Sequence: 215  |  Address: 27  |  Set: 3  | Block: 6  |  Status: Miss
Sequence: 216  |  Address: 28  |  Set: 0  | Block: 7  |  Status: Miss
Sequence: 217  |  Address: 29  |  Set: 1  | Block: 7  |  Status: Miss
Sequence: 218  |  Address: 30  |  Set: 2  | Block: 7  |  Status: Miss
Sequence: 219  |  Address: 1  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 220  |  Address: 2  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 221  |  Address: 3  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 222  |  Address: 4  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 223  |  Address: 5  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 224  |  Address: 6  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 225  |  Address: 7  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 226  |  Address: 8  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 227  |  Address: 9  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 228  |  Address: 10  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 229  |  Address: 11  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 230  |  Address: 12  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 231  |  Address: 13  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 232  |  Address: 14  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 233  |  Address: 15  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 234  |  Address: 16  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 235  |  Address: 17  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 236  |  Address: 18  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 237  |  Address: 19  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 238  |  Address: 20  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 239  |  Address: 21  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 240  |  Address: 22  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 241  |  Address: 23  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 242  |  Address: 24  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 243  |  Address: 25  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 244  |  Address: 26  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 245  |  Address: 27  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 246  |  Address: 28  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 247  |  Address: 29  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 248  |  Address: 30  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 249  |  Address: 31  |  Set: 3  | Block: 7  |  Status: Miss
Sequence: 250  |  Address: 32  |  Set: 0  | Block: 0  |  Status: Miss
Sequence: 251  |  Address: 33  |  Set: 1  | Block: 0  |  Status: Miss
Sequence: 252  |  Address: 34  |  Set: 2  | Block: 0  |  Status: Miss
Sequence: 253  |  Address: 35  |  Set: 3  | Block: 0  |  Status: Miss
Sequence: 254  |  Address: 36  |  Set: 0  | Block: 1  |  Status: Miss
Sequence: 255  |  Address: 37  |  Set: 1  | Block: 1  |  Status: Miss
Sequence: 256  |  Address: 38  |  Set: 2  | Block: 1  |  Status: Miss
Sequence: 257  |  Address: 39  |  Set: 3  | Block: 1  |  Status: Miss
Sequence: 258  |  Address: 40  |  Set: 0  | Block: 2  |  Status: Miss
Sequence: 259  |  Address: 41  |  Set: 1  | Block: 2  |  Status: Miss
Sequence: 260  |  Address: 42  |  Set: 2  | Block: 2  |  Status: Miss
Sequence: 261  |  Address: 43  |  Set: 3  | Block: 2  |  Status: Miss
Sequence: 262  |  Address: 44  |  Set: 0  | Block: 3  |  Status: Miss
Sequence: 263  |  Address: 45  |  Set: 1  | Block: 3  |  Status: Miss
Sequence: 264  |  Address: 46  |  Set: 2  | Block: 3  |  Status: Miss
Sequence: 265  |  Address: 47  |  Set: 3  | Block: 3  |  Status: Miss
Sequence: 266  |  Address: 48  |  Set: 0  | Block: 4  |  Status: Miss
Sequence: 267  |  Address: 49  |  Set: 1  | Block: 4  |  Status: Miss
Sequence: 268  |  Address: 50  |  Set: 2  | Block: 4  |  Status: Miss
Sequence: 269  |  Address: 51  |  Set: 3  | Block: 4  |  Status: Miss
Sequence: 270  |  Address: 52  |  Set: 0  | Block: 5  |  Status: Miss
Sequence: 271  |  Address: 53  |  Set: 1  | Block: 5  |  Status: Miss
Sequence: 272  |  Address: 54  |  Set: 2  | Block: 5  |  Status: Miss
Sequence: 273  |  Address: 55  |  Set: 3  | Block: 5  |  Status: Miss
Sequence: 274  |  Address: 56  |  Set: 0  | Block: 6  |  Status: Miss
Sequence: 275  |  Address: 57  |  Set: 1  | Block: 6  |  Status: Miss
Sequence: 276  |  Address: 58  |  Set: 2  | Block: 6  |  Status: Miss
Sequence: 277  |  Address: 59  |  Set: 3  | Block: 6  |  Status: Miss
Sequence: 278  |  Address: 60  |  Set: 0  | Block: 7  |  Status: Miss
Sequence: 279  |  Address: 61  |  Set: 1  | Block: 7  |  Status: Miss
Sequence: 280  |  Address: 62  |  Set: 2  | Block: 7  |  Status: Miss
Sequence: 281  |  Address: 63  |  Set: 3  | Block: 7  |  Status: Miss
Sequence: 282  |  Address: 0  |  Set: 0  | Block: 0  |  Status: Miss
Sequence: 283  |  Address: 1  |  Set: 1  | Block: 0  |  Status: Miss
Sequence: 284  |  Address: 2  |  Set: 2  | Block: 0  |  Status: Miss
Sequence: 285  |  Address: 3  |  Set: 3  | Block: 0  |  Status: Miss
Sequence: 286  |  Address: 4  |  Set: 0  | Block: 1  |  Status: Miss
Sequence: 287  |  Address: 5  |  Set: 1  | Block: 1  |  Status: Miss
Sequence: 288  |  Address: 6  |  Set: 2  | Block: 1  |  Status: Miss
Sequence: 289  |  Address: 7  |  Set: 3  | Block: 1  |  Status: Miss
Sequence: 290  |  Address: 8  |  Set: 0  | Block: 2  |  Status: Miss
Sequence: 291  |  Address: 9  |  Set: 1  | Block: 2  |  Status: Miss
Sequence: 292  |  Address: 10  |  Set: 2  | Block: 2  |  Status: Miss
Sequence: 293  |  Address: 11  |  Set: 3  | Block: 2  |  Status: Miss
Sequence: 294  |  Address: 12  |  Set: 0  | Block: 3  |  Status: Miss
Sequence: 295  |  Address: 13  |  Set: 1  | Block: 3  |  Status: Miss
Sequence: 296  |  Address: 14  |  Set: 2  | Block: 3  |  Status: Miss
Sequence: 297  |  Address: 15  |  Set: 3  | Block: 3  |  Status: Miss
Sequence: 298  |  Address: 16  |  Set: 0  | Block: 4  |  Status: Miss
Sequence: 299  |  Address: 17  |  Set: 1  | Block: 4  |  Status: Miss
Sequence: 300  |  Address: 18  |  Set: 2  | Block: 4  |  Status: Miss
Sequence: 301  |  Address: 19  |  Set: 3  | Block: 4  |  Status: Miss
Sequence: 302  |  Address: 20  |  Set: 0  | Block: 5  |  Status: Miss
Sequence: 303  |  Address: 21  |  Set: 1  | Block: 5  |  Status: Miss
Sequence: 304  |  Address: 22  |  Set: 2  | Block: 5  |  Status: Miss
Sequence: 305  |  Address: 23  |  Set: 3  | Block: 5  |  Status: Miss
Sequence: 306  |  Address: 24  |  Set: 0  | Block: 6  |  Status: Miss
Sequence: 307  |  Address: 25  |  Set: 1  | Block: 6  |  Status: Miss
Sequence: 308  |  Address: 26  |  Set: 2  | Block: 6  |  Status: Miss
Sequence: 309  |  Address: 27  |  Set: 3  | Block: 6  |  Status: Miss
Sequence: 310  |  Address: 28  |  Set: 0  | Block: 7  |  Status: Miss
Sequence: 311  |  Address: 29  |  Set: 1  | Block: 7  |  Status: Miss
Sequence: 312  |  Address: 30  |  Set: 2  | Block: 7  |  Status: Miss
Sequence: 313  |  Address: 1  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 314  |  Address: 2  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 315  |  Address: 3  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 316  |  Address: 4  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 317  |  Address: 5  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 318  |  Address: 6  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 319  |  Address: 7  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 320  |  Address: 8  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 321  |  Address: 9  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 322  |  Address: 10  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 323  |  Address: 11  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 324  |  Address: 12  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 325  |  Address: 13  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 326  |  Address: 14  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 327  |  Address: 15  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 328  |  Address: 16  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 329  |  Address: 17  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 330  |  Address: 18  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 331  |  Address: 19  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 332  |  Address: 20  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 333  |  Address: 21  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 334  |  Address: 22  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 335  |  Address: 23  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 336  |  Address: 24  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 337  |  Address: 25  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 338  |  Address: 26  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 339  |  Address: 27  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 340  |  Address: 28  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 341  |  Address: 29  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 342  |  Address: 30  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 343  |  Address: 31  |  Set: 3  | Block: 7  |  Status: Miss
Sequence: 344  |  Address: 32  |  Set: 0  | Block: 0  |  Status: Miss
Sequence: 345  |  Address: 33  |  Set: 1  | Block: 0  |  Status: Miss
Sequence: 346  |  Address: 34  |  Set: 2  | Block: 0  |  Status: Miss
Sequence: 347  |  Address: 35  |  Set: 3  | Block: 0  |  Status: Miss
